HIT_Id,annotator,method_i,method_j,topic,criterion,i greater j?
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A1HNR6OIRFCEHS,PG-MMR,H3,1010,Referential Clarity,0
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A3T61LJ1WNOL6Z,PG-MMR,H3,1010,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A1VIUV55F27XVM,PG-MMR,H3,1010,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,AMZV70TID53WY,PG-MMR,H3,1010,Referential Clarity,0
3D06DR5224I9S7FHSAU0R03LQ9KMAF,AGIJZ2UP8YNZV,PG-MMR,H3,1010,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A9EQ4FWCUQVBL,PG-MMR,H3,1010,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A1V6CP5I0TOSAR,PG-MMR,H3,1010,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A1HNR6OIRFCEHS,H4,H3,1036,Referential Clarity,0
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A3T61LJ1WNOL6Z,H4,H3,1036,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A1VIUV55F27XVM,H4,H3,1036,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,AMZV70TID53WY,H4,H3,1036,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,AGIJZ2UP8YNZV,H4,H3,1036,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A9EQ4FWCUQVBL,H4,H3,1036,Referential Clarity,0
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A1V6CP5I0TOSAR,H4,H3,1036,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A1HNR6OIRFCEHS,H1,H2,1024,Referential Clarity,0
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A3T61LJ1WNOL6Z,H1,H2,1024,Referential Clarity,0
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A1VIUV55F27XVM,H1,H2,1024,Referential Clarity,0
3D06DR5224I9S7FHSAU0R03LQ9KMAF,AMZV70TID53WY,H1,H2,1024,Referential Clarity,1
3D06DR5224I9S7FHSAU0R03LQ9KMAF,AGIJZ2UP8YNZV,H1,H2,1024,Referential Clarity,0
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A9EQ4FWCUQVBL,H1,H2,1024,Referential Clarity,0
3D06DR5224I9S7FHSAU0R03LQ9KMAF,A1V6CP5I0TOSAR,H1,H2,1024,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A3T61LJ1WNOL6Z,MMR*,H3,1049,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,AGIJZ2UP8YNZV,MMR*,H3,1049,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,AMZV70TID53WY,MMR*,H3,1049,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A1VIUV55F27XVM,MMR*,H3,1049,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A1HNR6OIRFCEHS,MMR*,H3,1049,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A9EQ4FWCUQVBL,MMR*,H3,1049,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A1V6CP5I0TOSAR,MMR*,H3,1049,Referential Clarity,1
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A3T61LJ1WNOL6Z,PG-MMR,H1,1001,Referential Clarity,1
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,AGIJZ2UP8YNZV,PG-MMR,H1,1001,Referential Clarity,1
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,AMZV70TID53WY,PG-MMR,H1,1001,Referential Clarity,1
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A1VIUV55F27XVM,PG-MMR,H1,1001,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A1HNR6OIRFCEHS,PG-MMR,H1,1001,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A9EQ4FWCUQVBL,PG-MMR,H1,1001,Referential Clarity,1
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A1V6CP5I0TOSAR,PG-MMR,H1,1001,Referential Clarity,1
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A3T61LJ1WNOL6Z,MMR*,H3,1030,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,AGIJZ2UP8YNZV,MMR*,H3,1030,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,AMZV70TID53WY,MMR*,H3,1030,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A1VIUV55F27XVM,MMR*,H3,1030,Referential Clarity,1
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A1HNR6OIRFCEHS,MMR*,H3,1030,Referential Clarity,0
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A9EQ4FWCUQVBL,MMR*,H3,1030,Referential Clarity,1
3YGE63DIN7W9W6BD4A3UBSTZFPMW0P,A1V6CP5I0TOSAR,MMR*,H3,1030,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A1ET2J1PIP0RGO,H1,MMR*,1018,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A1HNR6OIRFCEHS,H1,MMR*,1018,Referential Clarity,0
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A3T61LJ1WNOL6Z,H1,MMR*,1018,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A1VIUV55F27XVM,H1,MMR*,1018,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,AMZV70TID53WY,H1,MMR*,1018,Referential Clarity,0
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,AGIJZ2UP8YNZV,H1,MMR*,1018,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A9EQ4FWCUQVBL,H1,MMR*,1018,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A1ET2J1PIP0RGO,H2,PG-MMR,1047,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A1HNR6OIRFCEHS,H2,PG-MMR,1047,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A3T61LJ1WNOL6Z,H2,PG-MMR,1047,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A1VIUV55F27XVM,H2,PG-MMR,1047,Referential Clarity,0
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,AMZV70TID53WY,H2,PG-MMR,1047,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,AGIJZ2UP8YNZV,H2,PG-MMR,1047,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A9EQ4FWCUQVBL,H2,PG-MMR,1047,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A1ET2J1PIP0RGO,H1,MMR*,1027,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A1HNR6OIRFCEHS,H1,MMR*,1027,Referential Clarity,0
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A3T61LJ1WNOL6Z,H1,MMR*,1027,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A1VIUV55F27XVM,H1,MMR*,1027,Referential Clarity,0
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,AMZV70TID53WY,H1,MMR*,1027,Referential Clarity,1
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,AGIJZ2UP8YNZV,H1,MMR*,1027,Referential Clarity,0
3DA79LNS58UDLH6GSSG2Q6K7E7P3T2,A9EQ4FWCUQVBL,H1,MMR*,1027,Referential Clarity,1
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A10443E11ZWEHJ,H1,MMR*,1014,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A2TBXASXZIRNNW,H1,MMR*,1014,Referential Clarity,1
39WSF6KUV1K0INH5LVBZFNIH6OXOER,AGIJZ2UP8YNZV,H1,MMR*,1014,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A3T61LJ1WNOL6Z,H1,MMR*,1014,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,AMZV70TID53WY,H1,MMR*,1014,Referential Clarity,1
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A1VIUV55F27XVM,H1,MMR*,1014,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A1HNR6OIRFCEHS,H1,MMR*,1014,Referential Clarity,0
